ID,0,1,2,3,4,5,6,7,8,9,target
1,13,2,2,3,2,0,2,2,18,3,NO_FAILURE
2,10,2,3,3,2,0,2,3,14,3,NO_FAILURE
3,0,0,0,2,2,0,2,9,6,2,NO_FAILURE
4,6,2,1,3,2,0,5,10,13,3,NO_FAILURE
5,3,1,2,2,2,0,3,10,7,3,NO_FAILURE
6,6,1,1,1,2,0,1,9,8,2,NO_FAILURE
7,9,2,2,3,2,0,5,3,9,2,NO_FAILURE
8,5,2,4,3,2,0,4,10,11,3,NO_FAILURE
9,6,2,2,3,2,0,4,11,11,3,NO_FAILURE
10,3,2,3,3,2,0,4,11,12,2,NO_FAILURE
11,5,2,2,3,2,0,3,9,13,3,NO_FAILURE
12,2,1,1,4,2,0,5,10,10,2,NO_FAILURE
13,4,2,3,2,2,0,4,9,10,4,NO_FAILURE
14,4,2,3,3,2,0,3,8,11,3,NO_FAILURE
15,3,1,4,1,2,0,0,6,8,3,NO_FAILURE
16,3,1,4,2,2,0,2,2,5,8,NO_FAILURE
17,11,2,2,2,2,0,5,3,14,4,NO_FAILURE
18,2,1,1,2,2,0,4,2,8,8,NO_FAILURE
19,2,1,1,2,2,0,4,2,8,8,NO_FAILURE
20,4,1,1,3,2,0,4,2,9,8,NO_FAILURE
21,0,1,1,3,2,0,5,2,10,9,NO_FAILURE
22,10,2,2,3,2,0,2,3,14,4,NO_FAILURE
23,2,1,1,2,2,0,4,4,10,9,NO_FAILURE
24,2,1,1,2,2,0,4,2,8,8,NO_FAILURE
25,3,2,3,2,2,0,4,2,11,9,NO_FAILURE
26,10,2,4,3,2,0,3,3,11,4,NO_FAILURE
27,14,2,1,3,2,0,4,3,10,4,NO_FAILURE
28,11,1,4,4,2,0,4,2,9,3,NO_FAILURE
29,6,1,2,2,2,0,3,3,8,3,NO_FAILURE
30,10,2,3,3,2,0,4,3,12,4,NO_FAILURE
31,9,1,1,4,2,0,3,2,13,3,NO_FAILURE
32,9,0,0,2,2,0,0,5,8,2,NO_FAILURE
33,7,2,2,2,2,0,4,3,13,2,NO_FAILURE
34,12,2,2,2,2,0,3,3,13,4,NO_FAILURE
35,8,1,1,2,2,0,3,3,8,2,NO_FAILURE
36,9,2,3,3,2,0,3,4,14,3,NO_FAILURE
37,11,2,4,4,2,0,4,3,11,4,NO_FAILURE
38,9,2,3,3,2,0,5,3,14,4,NO_FAILURE
39,10,2,2,2,2,0,6,3,10,3,NO_FAILURE
40,10,2,2,2,2,0,5,3,11,3,NO_FAILURE
41,10,2,2,3,2,0,4,2,13,4,NO_FAILURE
42,9,2,3,2,2,0,4,3,12,3,NO_FAILURE
43,10,2,2,3,2,0,6,2,12,3,NO_FAILURE
44,7,1,1,4,2,0,4,2,10,3,NO_FAILURE
45,11,2,3,3,2,0,4,3,10,3,NO_FAILURE
46,11,2,3,3,2,0,3,3,12,3,NO_FAILURE
47,4,3,1,2,2,0,3,13,12,3,NO_FAILURE
48,4,1,1,1,2,0,3,9,8,2,NO_FAILURE
49,11,2,1,3,2,0,5,2,11,3,NO_FAILURE
50,1,1,1,1,2,0,4,8,8,2,NO_FAILURE
51,3,1,1,2,2,0,2,7,8,2,NO_FAILURE
52,3,1,4,3,2,0,3,9,8,3,NO_FAILURE
53,3,2,3,3,2,0,5,10,15,3,NO_FAILURE
54,3,2,4,2,2,0,3,9,14,4,NO_FAILURE
55,4,2,3,4,2,0,4,9,14,3,NO_FAILURE
56,3,2,2,3,2,0,5,11,13,2,NO_FAILURE
57,5,1,1,2,2,0,4,10,9,2,NO_FAILURE
58,3,2,3,3,2,8,4,2,14,3,NO_FAILURE
59,7,2,4,3,2,0,4,10,12,4,NO_FAILURE
60,0,1,4,2,2,0,3,9,8,3,NO_FAILURE
61,4,1,2,2,2,0,4,8,7,3,NO_FAILURE
62,1,1,2,2,2,0,2,9,12,2,NO_FAILURE
63,1,1,1,2,2,0,4,10,9,2,NO_FAILURE
64,5,2,2,2,2,5,6,2,11,3,NO_FAILURE
65,2,1,2,3,2,0,4,10,10,3,NO_FAILURE
66,4,1,2,2,2,0,2,8,9,3,NO_FAILURE
67,3,2,5,4,2,0,5,9,11,3,NO_FAILURE
68,3,2,2,2,2,0,2,13,12,3,NO_FAILURE
69,4,2,3,2,2,0,4,10,11,3,NO_FAILURE
70,4,2,4,4,2,0,7,7,11,4,NO_FAILURE
71,4,2,3,4,2,0,4,10,13,3,NO_FAILURE
72,5,2,3,4,2,0,3,10,13,3,NO_FAILURE
73,3,1,1,2,2,5,2,4,9,3,NO_FAILURE
74,5,2,2,2,2,0,4,12,11,2,NO_FAILURE
75,4,2,4,4,2,0,5,9,12,3,NO_FAILURE
76,4,1,2,4,2,0,5,9,9,3,NO_FAILURE
77,2,1,2,4,2,0,4,9,11,2,NO_FAILURE
78,1,0,0,2,2,0,2,8,5,2,NO_FAILURE
79,4,2,2,2,2,0,4,5,17,3,NO_FAILURE
80,3,2,3,4,2,0,5,2,18,3,NO_FAILURE
81,3,1,1,2,2,0,4,2,15,2,NO_FAILURE
82,3,2,5,4,2,0,4,3,19,3,NO_FAILURE
83,4,2,3,4,2,0,3,2,21,3,NO_FAILURE
84,3,2,3,2,2,0,3,3,17,4,NO_FAILURE
85,4,2,3,3,2,0,3,4,17,4,NO_FAILURE
86,4,1,2,2,2,0,2,2,13,3,NO_FAILURE
87,3,2,5,4,2,0,4,3,18,3,NO_FAILURE
88,6,2,4,3,2,0,6,2,15,4,NO_FAILURE
89,9,2,5,3,2,0,5,2,12,4,NO_FAILURE
90,7,0,0,2,2,0,1,3,5,2,NO_FAILURE
91,4,0,0,2,2,0,3,3,5,2,NO_FAILURE
92,13,2,5,4,2,0,3,2,11,4,NO_FAILURE
93,1,0,0,2,2,5,1,2,7,2,NO_FAILURE
94,10,2,5,4,2,0,3,2,13,3,NO_FAILURE
95,12,2,2,3,2,0,4,4,12,2,NO_FAILURE
96,12,2,4,4,2,0,4,2,12,4,NO_FAILURE
97,10,2,3,4,2,0,5,2,12,3,NO_FAILURE
98,11,2,2,2,2,0,4,4,13,2,NO_FAILURE
99,10,2,4,3,2,0,5,2,11,4,NO_FAILURE
100,14,2,2,3,2,0,5,4,12,3,NO_FAILURE
101,10,2,3,2,2,0,3,3,11,3,NO_FAILURE
102,8,1,4,3,2,0,4,2,9,3,NO_FAILURE
103,4,0,0,2,2,0,2,3,4,2,NO_FAILURE
104,2,2,3,3,2,6,5,2,13,3,NO_FAILURE
105,4,2,4,3,2,6,4,3,10,4,NO_FAILURE
106,4,2,2,3,2,7,3,3,11,3,NO_FAILURE
107,2,1,2,3,2,7,4,2,10,2,NO_FAILURE
108,3,1,2,2,2,6,5,2,6,3,NO_FAILURE
109,2,1,1,2,2,6,4,3,8,2,NO_FAILURE
110,7,0,0,2,2,0,2,2,5,2,NO_FAILURE
111,5,0,0,1,2,0,2,4,4,2,NO_FAILURE
112,10,2,2,3,2,0,4,3,12,4,NO_FAILURE
113,6,1,1,1,2,0,3,3,8,3,NO_FAILURE
114,7,0,0,2,2,0,1,4,4,2,NO_FAILURE
115,8,1,3,3,2,0,5,3,9,3,NO_FAILURE
116,9,2,2,2,2,0,4,3,13,4,NO_FAILURE
117,4,1,1,3,2,0,4,10,16,3,NO_FAILURE
118,4,2,3,3,2,0,3,10,13,2,NO_FAILURE
119,4,1,2,2,2,0,3,8,9,3,NO_FAILURE
120,4,1,1,2,2,0,4,9,7,2,NO_FAILURE
121,3,1,2,2,2,0,2,9,11,2,NO_FAILURE
122,3,1,2,3,2,0,4,8,9,3,NO_FAILURE
123,2,1,3,3,2,0,5,10,8,3,NO_FAILURE
124,1,1,1,2,2,0,2,11,12,2,NO_FAILURE
125,5,2,3,4,2,0,4,9,13,3,NO_FAILURE
126,2,2,5,3,2,0,4,10,13,3,NO_FAILURE
127,3,2,3,3,2,0,4,10,13,2,NO_FAILURE
128,4,2,3,3,2,0,4,10,13,2,NO_FAILURE
129,6,2,2,3,2,0,2,10,14,2,NO_FAILURE
130,3,1,2,1,2,0,3,2,6,7,NO_FAILURE
131,4,1,1,2,2,0,3,3,8,9,NO_FAILURE
132,3,1,1,1,2,0,2,3,10,8,NO_FAILURE
133,4,2,4,3,2,0,6,2,9,9,NO_FAILURE
134,2,2,3,3,2,0,4,3,12,9,NO_FAILURE
135,4,2,2,2,2,0,4,3,11,9,NO_FAILURE
136,1,0,0,2,2,5,2,2,5,2,NO_FAILURE
137,3,2,3,3,2,0,4,3,9,9,NO_FAILURE
138,5,2,2,2,2,0,5,3,9,9,NO_FAILURE
139,5,2,3,2,2,0,4,3,9,9,NO_FAILURE
140,4,2,2,3,2,0,5,2,10,8,NO_FAILURE
141,4,2,3,3,2,0,3,2,10,9,NO_FAILURE
142,3,2,1,2,2,0,5,2,14,9,NO_FAILURE
143,8,2,1,3,2,0,4,4,13,10,NO_FAILURE
144,2,1,1,1,2,5,3,3,7,2,NO_FAILURE
145,3,2,2,3,2,0,5,2,9,9,NO_FAILURE
146,4,2,3,2,2,0,4,2,12,8,NO_FAILURE
147,6,2,2,3,2,0,5,2,10,9,NO_FAILURE
148,7,1,1,2,2,0,5,3,11,2,NO_FAILURE
149,10,2,3,2,2,0,6,3,10,3,NO_FAILURE
150,7,1,2,4,2,0,4,2,9,2,NO_FAILURE
151,2,1,1,1,2,4,3,2,8,3,NO_FAILURE
152,7,1,1,2,2,0,2,4,9,3,NO_FAILURE
153,9,1,3,3,2,0,4,3,6,2,NO_FAILURE
154,9,1,1,2,2,0,2,4,9,3,NO_FAILURE
155,6,1,1,2,2,0,2,5,13,3,NO_FAILURE
156,5,0,0,1,2,0,1,2,4,2,NO_FAILURE
157,5,0,0,2,2,0,3,3,5,2,NO_FAILURE
158,6,2,3,3,2,8,4,2,11,3,NO_FAILURE
159,9,2,3,4,2,0,3,2,13,3,NO_FAILURE
160,9,2,5,2,2,0,4,2,9,2,NO_FAILURE
161,13,2,1,2,2,0,5,3,14,3,NO_FAILURE
162,11,2,2,3,2,0,5,2,11,3,NO_FAILURE
163,4,2,4,2,2,7,4,3,11,3,NO_FAILURE
