,ID,cluster_sequences,sequence_KPI,cluster_sequences_parent_service,app_error1,assertion_error_round_1,round_1_final_status,Content,anom_label,parent_service,encoded_labels,test_id,round_,time,classification_mask,cls_target_api,cls_target_assertion,cls_target_failure
0,1_test_id_1.529983304145e+18,[12],0,12keystone,"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]","GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" GET  10.0.20.24:35357  ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_bind_host"""" from group """"eventlet_server""""."" ""Option """"admin_port"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_port"""" from group """"eventlet_server""""."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" Deprecated: authenticate of the v2 Authentication APIs is deprecated as of Mitaka in favor of a similar function in the v3 Authentication APIs and may be removed in T. ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_bind_host"""" from group """"eventlet_server""""."" ""Option """"admin_port"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_port"""" from group """"eventlet_server""""."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" GET  10.0.20.24:35357  ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" Deprecated: authenticate of the v2 Authentication APIs is deprecated as of Mitaka in favor of a similar function in the v3 Authentication APIs and may be removed in T.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['keystone'], 359 359 359 359 359 359 359 359 359 359 359 359 359 273 190 462 254 100 273 462 118 100 273 190 254 100 359 273 462 118 100 51 62 462 118 100 277 190 462 118 100 273 190 118 100 273 190 254 100 51 62 190 254 100 359 273 190 254 118 100 273 190 254 100 277 ,1.0,1,1.529983304145e+18,0,,,
1,2_test_id_1.529993328956929e+18,[12],0,12foreground,"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1529986094... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529986094 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529986094 tempest-cirros-0.4.0-x86_64-1529986094 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1529986094 image is ACTIVE...great! Create keypair tempest-keypair-1529986094... openstack keypair create --public-key  tmp tempest-keypair-1529986094.key.pub tempest-keypair-1529986094 openstack keypair create --public-key  tmp tempest-keypair-1529986094.key.pub tempest-keypair-1529986094 tempest-keypair-1529986094 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1529986094 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1529986094 openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1529986094 tempest-keypair-1529986094 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-SECURITY_GROUP_SAMPLE-1529986094 security group was created successfully...great! openstack network set --external public,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['foreground'], 422 288 457 457 304 298 188 292 292 47 295 430 435 435 47 49 187 ,2.0,1,1.529993328956929e+18,0,,,
2,3_test_id_1.5300920639e+18,[16],0,16glance,"[ openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.301189"" """"""PUT  v2 images 35c4a3e1-5021-4782-8b9b-68e683b22cb9 file HTTP 1.1"""" 204 213 0.380088""","[0, 0]",['glance'], 345 104 ,3.0,1,1.5300920639e+18,0,,,
3,4_test_id_1.530059517861287e+18,[9],0,9foreground,"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530052276... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530052276 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530052276 tempest-cirros-0.4.0-x86_64-1530052276 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530052276 image is ACTIVE...great! Create keypair tempest-keypair-1530052276... openstack keypair create --public-key  tmp tempest-keypair-1530052276.key.pub tempest-keypair-1530052276 openstack keypair create --public-key  tmp tempest-keypair-1530052276.key.pub tempest-keypair-1530052276 tempest-keypair-1530052276 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1530052276 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530052276 openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530052276 tempest-keypair-1530052276 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-SECURITY_GROUP_SAMPLE-1530052276 security group was created successfully...great! openstack network set --external public openstack network set --external public tempest-private-1530052276 private network is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-private-1530052276 network is ACTIVE...great! Create subnet 'tempest-private-subnet-1530052276' on network 'tempest-private-1530052276' with range '11.176.1.0 24'... openstack subnet create --subnet-range 11.176.1.0 24 --network tempest-private-1530052276 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530052276 openstack subnet create --subnet-range 11.176.1.0 24 --network tempest-private-1530052276 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530052276 tempest-private-subnet-1530052276 private subnet is still not created (status 1)!...retry (#0) wait: 0 sec tempest-private-subnet-1530052276 private subnet is created...great! Create router tempest-router-1530052276 for instance tempest-INSTANCE_SAMPLE-1530052276... tempest-router-1530052276 router is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-router-1530052276 router is ACTIVE...great! tempest-router-1530052276 router has still no interfaces on tempest-private-subnet-1530052276 (status 1)!...retry (#0) wait: 0 sec openstack router add subnet tempest-router-1530052276 tempest-private-subnet-1530052276 openstack router add subnet tempest-router-1530052276 tempest-private-subnet-1530052276 was added to tempest-router-1530052276...great! neutron router-gateway-set tempest-router-1530052276 public neutron CLI is deprecated and will be removed in the future. Use openstack CLI instead. neutron router-gateway-set tempest-router-1530052276 public Create instance tempest-INSTANCE_SAMPLE-1530052276 and boot it. None Details: ........image name = tempest-cirros-0.4.0-x86_64-1530052276 ........network = tempest-private-1530052276 ........security group = tempest-SECURITY_GROUP_SAMPLE-1530052276 ........key name = tempest-keypair-1530052276 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530052276 --nic net-id=tempest-private-1530052276 --security-group tempest-SECURITY_GROUP_SAMPLE-1530052276 --key-name tempest-keypair-1530052276 tempest-INSTANCE_SAMPLE-1530052276 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530052276 --nic net-id=tempest-private-1530052276 --security-group tempest-SECURITY_GROUP_SAMPLE-1530052276 --key-name tempest-keypair-1530052276 tempest-INSTANCE_SAMPLE-1530052276 tempest-INSTANCE_SAMPLE-1530052276 instance is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['foreground'], 422 288 457 457 304 298 188 292 292 47 295 430 435 435 47 49 187 187 434 30 210 303 303 315 445 294 444 87 72 229 229 441 29 82 29 39 207 91 374 220 334 57 154 154 165 ,4.0,1,1.530059517861287e+18,0,,,
4,5_test_id_1.530068274565e+18,[18],0,18glance,"[ openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.370547"" """"""PUT  v2 images 87c46c8d-55ab-46e5-850d-d90be903822c file HTTP 1.1"""" 204 213 0.430026""","[0, 0]",['glance'], 345 104 ,5.0,1,1.530068274565e+18,0,,,
5,6_test_id_1.530070216396e+18,[3],0,3glance,"[ openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.431918"" """"""PUT  v2 images ccb180a4-aca3-4c52-8fa4-6df688407283 file HTTP 1.1"""" 204 213 0.580986""","[0, 0]",['glance'], 345 104 ,6.0,1,1.530070216396e+18,0,,,
6,7_test_id_1.529995757414397e+18,[12],0,12foreground,"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1529988522... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529988522 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529988522 tempest-cirros-0.4.0-x86_64-1529988522 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1529988522 image is ACTIVE...great! Create keypair tempest-keypair-1529988522... openstack keypair create --public-key  tmp tempest-keypair-1529988522.key.pub tempest-keypair-1529988522 openstack keypair create --public-key  tmp tempest-keypair-1529988522.key.pub tempest-keypair-1529988522 tempest-keypair-1529988522 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1529988522 key-pair was created successfully...great! Create security group with SSH enabled,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['foreground'], 422 288 457 457 304 298 188 292 292 47 295 430 ,7.0,1,1.529995757414397e+18,0,,,
7,8_test_id_1.530072293233e+18,[18],0,18glance,"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.447640"" """"""PUT  v2 images 005612be-9864-4314-af59-7ae7d9b1a6cb file HTTP 1.1"""" 204 213 0.540063""","[0, 0]",['glance'], 345 104 ,8.0,1,1.530072293233e+18,0,,,
8,9_test_id_1.530074615631e+18,[16],0,16glance,"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.189202"" """"""PUT  v2 images 44f920e4-0fad-4142-b856-a2d0ca4e548c file HTTP 1.1"""" 204 213 0.493607""","[0, 0]",['glance'], 345 104 ,9.0,1,1.530074615631e+18,0,,,
9,10_test_id_1.530076952869e+18,[18],0,18glance,"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.375356"" """"""PUT  v2 images db8fbe5c-70cd-4bb6-9e76-38b1445c0fd4 file HTTP 1.1"""" 204 213 0.552168""","[0, 0]",['glance'], 345 104 ,10.0,1,1.530076952869e+18,0,,,
