,test_id,sequence,cluster_sequences_parent_service,app_error,assesrtion_error,final_status,Content,number_error_msgs,round
1.0,1.0,[12],['12keystone'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED, FAILURE_VOLUME_ATTACHED]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]","GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  GET  10.0.20.24:35357  ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" GET  10.0.20.24:35357  ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_bind_host"""" from group """"eventlet_server""""."" ""Option """"admin_port"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_port"""" from group """"eventlet_server""""."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" Deprecated: authenticate of the v2 Authentication APIs is deprecated as of Mitaka in favor of a similar function in the v3 Authentication APIs and may be removed in T. ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_bind_host"""" from group """"eventlet_server""""."" ""Option """"admin_port"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_port"""" from group """"eventlet_server""""."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" GET  10.0.20.24:35357  ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server""""."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" ""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.).  Its value may be silently ignored in the future."" Deprecated: authenticate of the v2 Authentication APIs is deprecated as of Mitaka in favor of a similar function in the v3 Authentication APIs and may be removed in T.",0,1
2.0,2.0,[12],['12foreground'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1529986094... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529986094 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529986094 tempest-cirros-0.4.0-x86_64-1529986094 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1529986094 image is ACTIVE...great! Create keypair tempest-keypair-1529986094... openstack keypair create --public-key  tmp tempest-keypair-1529986094.key.pub tempest-keypair-1529986094 openstack keypair create --public-key  tmp tempest-keypair-1529986094.key.pub tempest-keypair-1529986094 tempest-keypair-1529986094 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1529986094 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1529986094 openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1529986094 tempest-keypair-1529986094 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-SECURITY_GROUP_SAMPLE-1529986094 security group was created successfully...great! openstack network set --external public,0,1
3.0,3.0,[16],['16glance'],"[ openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.301189"" """"""PUT  v2 images 35c4a3e1-5021-4782-8b9b-68e683b22cb9 file HTTP 1.1"""" 204 213 0.380088""",0,1
4.0,4.0,[9],['9foreground'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH, FAILURE_SSH]","[FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE, FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1530052276... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530052276 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1530052276 tempest-cirros-0.4.0-x86_64-1530052276 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1530052276 image is ACTIVE...great! Create keypair tempest-keypair-1530052276... openstack keypair create --public-key  tmp tempest-keypair-1530052276.key.pub tempest-keypair-1530052276 openstack keypair create --public-key  tmp tempest-keypair-1530052276.key.pub tempest-keypair-1530052276 tempest-keypair-1530052276 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1530052276 key-pair was created successfully...great! Create security group with SSH enabled openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530052276 openstack security group rule create --proto tcp --dst-port 22 tempest-SECURITY_GROUP_SAMPLE-1530052276 tempest-keypair-1530052276 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-SECURITY_GROUP_SAMPLE-1530052276 security group was created successfully...great! openstack network set --external public openstack network set --external public tempest-private-1530052276 private network is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-private-1530052276 network is ACTIVE...great! Create subnet 'tempest-private-subnet-1530052276' on network 'tempest-private-1530052276' with range '11.176.1.0 24'... openstack subnet create --subnet-range 11.176.1.0 24 --network tempest-private-1530052276 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530052276 openstack subnet create --subnet-range 11.176.1.0 24 --network tempest-private-1530052276 --dns-nameserver 8.8.4.4 tempest-private-subnet-1530052276 tempest-private-subnet-1530052276 private subnet is still not created (status 1)!...retry (#0) wait: 0 sec tempest-private-subnet-1530052276 private subnet is created...great! Create router tempest-router-1530052276 for instance tempest-INSTANCE_SAMPLE-1530052276... tempest-router-1530052276 router is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec tempest-router-1530052276 router is ACTIVE...great! tempest-router-1530052276 router has still no interfaces on tempest-private-subnet-1530052276 (status 1)!...retry (#0) wait: 0 sec openstack router add subnet tempest-router-1530052276 tempest-private-subnet-1530052276 openstack router add subnet tempest-router-1530052276 tempest-private-subnet-1530052276 was added to tempest-router-1530052276...great! neutron router-gateway-set tempest-router-1530052276 public neutron CLI is deprecated and will be removed in the future. Use openstack CLI instead. neutron router-gateway-set tempest-router-1530052276 public Create instance tempest-INSTANCE_SAMPLE-1530052276 and boot it. None Details: ........image name = tempest-cirros-0.4.0-x86_64-1530052276 ........network = tempest-private-1530052276 ........security group = tempest-SECURITY_GROUP_SAMPLE-1530052276 ........key name = tempest-keypair-1530052276 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530052276 --nic net-id=tempest-private-1530052276 --security-group tempest-SECURITY_GROUP_SAMPLE-1530052276 --key-name tempest-keypair-1530052276 tempest-INSTANCE_SAMPLE-1530052276 openstack server create --flavor m1.tiny --image tempest-cirros-0.4.0-x86_64-1530052276 --nic net-id=tempest-private-1530052276 --security-group tempest-SECURITY_GROUP_SAMPLE-1530052276 --key-name tempest-keypair-1530052276 tempest-INSTANCE_SAMPLE-1530052276 tempest-INSTANCE_SAMPLE-1530052276 instance is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec,0,1
5.0,5.0,[18],['18glance'],"[ openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.370547"" """"""PUT  v2 images 87c46c8d-55ab-46e5-850d-d90be903822c file HTTP 1.1"""" 204 213 0.430026""",0,1
6.0,6.0,[3],['3glance'],"[ openstack server create , openstack server create ]","[NO_FAILURE, NO_FAILURE]","[FAILURE, FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.431918"" """"""PUT  v2 images ccb180a4-aca3-4c52-8fa4-6df688407283 file HTTP 1.1"""" 204 213 0.580986""",0,1
7.0,7.0,[12],['12foreground'],"[not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE, NO_FAILURE]",Workload started! Create image tempest-cirros-0.4.0-x86_64-1529988522... openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529988522 openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img tempest-cirros-0.4.0-x86_64-1529988522 tempest-cirros-0.4.0-x86_64-1529988522 image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec tempest-cirros-0.4.0-x86_64-1529988522 image is ACTIVE...great! Create keypair tempest-keypair-1529988522... openstack keypair create --public-key  tmp tempest-keypair-1529988522.key.pub tempest-keypair-1529988522 openstack keypair create --public-key  tmp tempest-keypair-1529988522.key.pub tempest-keypair-1529988522 tempest-keypair-1529988522 key-pair is not still created (status 1)!...retry (#0) wait: 0 sec tempest-keypair-1529988522 key-pair was created successfully...great! Create security group with SSH enabled,0,1
8.0,8.0,[18],['18glance'],"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.447640"" """"""PUT  v2 images 005612be-9864-4314-af59-7ae7d9b1a6cb file HTTP 1.1"""" 204 213 0.540063""",0,1
9.0,9.0,[16],['16glance'],"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.189202"" """"""PUT  v2 images 44f920e4-0fad-4142-b856-a2d0ca4e548c file HTTP 1.1"""" 204 213 0.493607""",0,1
10.0,10.0,[18],['18glance'],"[not_applicable, not_applicable]","[NO_FAILURE, NO_FAILURE]","[NO_FAILURE, NO_FAILURE]","""""""POST  v2 images HTTP 1.1"""" 201 867 0.375356"" """"""PUT  v2 images db8fbe5c-70cd-4bb6-9e76-38b1445c0fd4 file HTTP 1.1"""" 204 213 0.552168""",0,1
